smiles,N2,Air,IPA,NaN3,Imidazole,Bzq
C1=CC=C2C(=C1)C3(C4=CC(=C(C(=C4OC5=C(C(=C(C=C53)Br)O)O)O)O)Br)OS2(=O)=O,-5.6439741428068775,-4.539102157243452,-4.5718652059712115,,-5.600326278518962,-4.565431095965801
C1=CC=C2C(=C1)C(=O)OC23C4=C(C(=C(C=C4)O)O)OC5=C3C=CC(=C5O)O,,-5.126679398184601,-5.2247537402597635,,-6.823908740944319,-5.145086977692144
CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=C(C=C5)S(=O)(=O)[O-].[Na+].[Na+],,-4.006123085058789,-4.018634490921456,,-5.991399828238082,-4.072116589669293
CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=C(C=C5)NC6=CC=C(C=C6)OCC.[Na+],-7.396855627379818,-3.7471469690201067,-3.87942606879415,-6.042871802323187,,-4.000869458712629
CCN(CC)C1=CC2=[N+](C3=C(C=CC(=C3)N=NC4=CC=C(C=C4)N(C)C)N=C2C=C1)C5=CC=CC=C5.[Cl-],-5.019996628416254,-4.212539525481585,-4.293282217663242,-4.7447274948966935,,
CC1=CC(=C(C=C1)N=NC2=C3C=CC(=CC3=CC(=C2O)S(=O)(=O)[O-])S(=O)(=O)[O-])C.[Na+].[Na+],-5.982966660701219,-5.105683937315561,-6.273272790973428,-5.5376020021010435,-5.3325470471100465,
CC1=CC(=C(C2=CC(=C(C=C2)N)C)C3=CC(=C(C=C3)N)C)C=CC1=N.Cl,-6.910094888560602,-4.242603971206976,-5.484126156288321,,-4.2247537402597635,-4.199282921717615
C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,-5.485452247339714,-3.701146923590293,-3.8827287043442356,-4.774690718274138,,-3.785156151952302
CCNC1=C(C=C(C=C1)C(=C2C=CC(=NCC)C(=C2)C)C3=C(C=C(C=C3)S(=O)(=O)[O-])S(=O)(=O)O)C.[Na+],-5.7423214251308154,-4.616184634019569,-4.6439741428068775,-4.844663962534939,-4.79317412396815,
CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)O2)C3=NC4=CC=CC=C4N3,-5.804100347590766,-4.863279432843593,-5.129011186239425,,-5.412289034981089,-5.0655015487564325
CC1=C(C=C(C=C1)N=NC2=C(C=C(C(=C2)C)N)N)N=NC3=C(C=C(C(=C3)C)N)N.Cl.Cl,-6.035269078946371,-5.0675262353228465,-5.169411331314856,-5.882728704344236,,-5.282329496997738
C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],,-5.380906669373257,-5.281498311132726,,-5.539102157243452,
C1=CC=C(C(=C1)C2=C3C=C(C(=O)C(=C3OC4=C(C(=C(C=C24)[N+](=O)[O-])[O-])Br)Br)[N+](=O)[O-])C(=O)[O-].[Na+].[Na+],,-3.9956786262173574,-4.295849483160201,-5.025028005701931,-4.801342913045577,-4.273272790973428
C1=CC=C2C(=C1)C=CC(=C2N=NC3=C4C=CC(=CC4=C(C=C3O)S(=O)(=O)[O-])[N+](=O)[O-])O.[Na+],-4.696803942579511,-3.500312917381596,-3.4609239012072233,,-4.411168274405792,-3.5086383061657274
C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=C(C=C3)S(=O)(=O)[O-])O.[Na+],-5.554395796726403,-5.404503778174426,-5.503070351926785,,-5.36251027048749,-5.707743928643524
CC(=O)NC1=C2C(=CC(=C1)S(=O)(=O)[O-])C=C(C(=C2O)N=NC3=CC=CC=C3)S(=O)(=O)[O-].[Na+].[Na+],-5.454692883534176,-5.369572124974976,-5.43533393574791,,-5.3585258894959,
CC1=CC(=CC(=C1[O-])C(=O)[O-])/C(=C/2\C=C(C(=O)C(=C2)C(=O)O)C)/C3=C(C=CC=C3Cl)Cl.[Na+].[Na+],-4.939302159646388,-4.11975822410452,-4.1095789811990855,,-4.882728704344236,
C1=CC(=CC=C1N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O)S(=O)(=O)[O-].[Na+].[Na+],,-5.274088367704952,-5.617982957425132,-5.779891911959945,-5.430626090384954,-6.335358024443875
C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,,-5.2225731776106885,-5.060980223551334,,-5.455931955649724,-5.060980223551334
C1=CC=C2C(=C1)C(=CC=C2O)N=NC3=CC=C(C=C3)S(=O)(=O)[O-].[Na+],-5.101274818410507,-4.1444808443322,-4.251811972993799,,-4.876148359032914,
C1=CC(=CC=C1N=NC2=CC(=C(C=C2)O)C(=O)O)[N+](=O)[O-],-5.327902142064283,-4.8996294548824375,-4.869666231504994,-5.036212172654444,,-5.578396073130169
CC1=CC(=C(C=C1S(=O)(=O)[O-])OC)N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O.[Na+].[Na+],-5.653647025549361,-5.449771646944906,-5.431798275933005,-5.767003889607846,,-5.517126416391246
Brc1c(O)c(cc(c1)C3(OS(=O)(=O)c2ccccc23)c4cc(c(O)c(Br)c4)C)C,-5.761953896871205,-5.11690664142431,-5.254144804826271,,-5.3487219860018556,-5.173925197299173
C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C(C=CC4=CC(=CC(=C43)S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Na+].[Na+].[Na+],-5.638272163982407,-5.320572103387881,-5.628932137728263,,-5.185752404268079,-5.156144577376839
C1=CC(=CC=C1C2=CC=C(C=C2)N=NC3=C(C=CC4=CC(=CC(=C43)O)S(=O)(=O)[O-])N)N=NC5=C(C=CC6=CC(=CC(=C65)O)S(=O)(=O)[O-])N.[Na+].[Na+],-6.623423042943488,-5.000434511774018,-5.45717457304082,,-5.607303046740334,-5.270025714300444
