"smiles","log10_rate"
"COc1cc(C(c(n2)c3nc4c2ncc(C5=CC(N(C)C)=CC=C5)c4)=O)c3cc1",-4.63078414258986
"Cc1cc(c(n2)c(C3=O)nc4c2cc(c5ccc(NS(C)(=O)=O)cc5)c(C)n4)c3cc1",-4.58502665202918
"COc1cc(c(n2)c(C3=O)nc4c2cc(c5ccc(C(O)=O)cc5)c(C)n4)c3cc1",-4.04287180232319
"COc1cc(C(c(n2)c3nc4c2ncc(c5ccc(NS(C)(=O)=O)cc5)c4C)=O)c3cc1",-4.53610701101409
"COc1cc(C(c(n2)c3nc4c2ncc(c5ccc(OC)c(OC)c5)c4)=O)c3cc1",-4.24565166428898
"Cc1cc(C(c(n2)c3nc4c2nc(C)c(c5cc(OCCO6)c6cc5)c4)=O)c3cc1",-4.31605286924849
"COc1cc(C(c(n2)c3nc4c2nc(C)c(c5ccc(OC)cc5OC)c4)=O)c3cc1",-4.3767507096021
"Fc1cc(c2cc(N(C)C)ccc2)cc3c1ccc(n4)n3c5c4nc(Cl)cc5",-4.82973828460504
"Fc1cc(c2c(OC)cc(OC)cc2)cc3c1ccc(n4)n3c5c4nc(Cl)cc5",-4.36151074304536
"COc1cc(C(c(n2)c3nc4c2ncc(c5ccc(NC(C)=O)cc5)c4C)=O)c3cc1",-4.59516628338006
"Cc1cc(C(c(n2)c3nc4c2nc(C)c(c5ccc(C(O)=O)cc5)c4)=O)c3cc1",-4.39469495385889
"Cc1cc(c(n2)c(C3=O)nc4c2cc(c5ccc(OC)cc5OC)c(C)n4)c3cc1",-4.79048498545737
"Fc1cc(N(C(C)C)C(C)C)cc2c1ccc(n3)n2c4c3nc(Cl)cc4",-4.42365864979421
"c(cc1)nc2c1n(c3cc(c4ccc(NS(C)(=O)=O)cc4)cc(F)c3cc5)c5n2",-4.0329202658555
"c(cc1)nc2c1n(c3cc(c4cc(COC5=O)c5cc4)cc(F)c3cc6)c6n2",-4.56066730616974
"c(cc1)nc2c1n(c3cc(Nc4ccccc4C#N)cc(F)c3cc5)c5n2",-4.58335949266172
"NC(=O)C1CCN(CC1)c1cc(F)c2ccc3nc4nc(Cl)ccc4n3c2c1",-4.51144928349956
"OCc1cccc(c2cc(F)c3ccc4nc5c(cccn5)n4c3c2)c1",-4.00348832784582
"c(cc1)nc2c1n(c3cc(c4c(OC)cc(OC)cc4)cc(F)c3cc5)c5n2",-3.65766616122643
"c(cc1)nc2c1n(c3cc(c4ccc(C(O)=O)cc4)cc(F)c3cc5)c5n2",-3.97636487121639
"c(cc1)nc2c1n(c3cc(c4cc(OCCO5)c5cc4)cc(F)c3cc6)c6n2",-3.89372068842819
"c(cc1)nc2c1n(c3cc(c4ccc(NC(C)=O)cc4)cc(F)c3cc5)c5n2",-3.8220135675087
"c(cc1)nc2c1n(c3cc(c4cc(OC)c(OC)cc4)cc(F)c3cc5)c5n2",-4.1438755557577
"c(cc1)nc2c1n(c3cc(c4cc(N(C)C)ccc4)cc(F)c3cc5)c5n2",-4.16941133131486
"[O-][N+](c(c(c1cc(CO)ccc1)c2)cc3c2n4c5cccnc5nc4cc3)=O",-4.36754270781528
"COc1ccc(Nc2cc(F)c3ccc4nc5c(cccn5)n4c3c2)cc1",-4.08671609823958
"O=S1(CCN(CC1)c2cc(F)c3ccc4nc5c(cccn5)n4c3c2)=O",-4.82681373158773
"[O-][N+](c(c(c1ccc(OC)cc1OC)cc23)cc2ccc4n3c(ccc(Cl)n5)c5n4)=O",-4.6252516539899
"[O-][N+](c(c(c1ccc(C(O)=O)cc1)cc23)cc2ccc4n3c(ccc(Cl)n5)c5n4)=O",-4.91364016932525
"[O-][N+](c(c(c1ccc(C(O)=O)cc1)c2)cc3c2n4c5cccnc5nc4cc3)=O",-4.6675615400844
"[O-][N+](c(c(N(c1ccccc1)c2ccccc2)c3)cc4c3n5c6cccnc6nc5cc4)=O",-4.84163750790475
"Cc1cc2ccc(nc3c4ccc(Cl)n3)n4c2cc1",-3.94309514866353
"Clc1ccc2n3c4c(ccc3nc2n1)cc([N+]([O-])=O)c(Br)c4",-4.18442225167573
"Cc1cc2ccc(nc3c4cccn3)n4c2cc1",-5.07058107428571
"O=C(O)c1cc2ccc(nc3c4cccn3)n4c2cc1",-5.18842499412941
"Clc1ccc2n3c4c(ccc3nc2n1)cc([N+]([O-])=O)cc4",-4.71219827006977
"[O-][N+](=O)c1ccc2c(ccc3nc4ncccc4n23)c1",-4.65169513695184
"Clc1ccc2n3c4c(ccc3nc2n1)cc(C#N)cc4",-4.26921772433361
"N#Cc1cc2ccc(nc3c4cccn3)n4c2cc1",-4.72124639904717
"Clc1ccc2n3c4c(ccc3nc2n1)c(F)cc(Br)c4",-4.5185573714977
"Fc1cc(Br)cc(c1cc2)n3c2nc4c3cccn4",-4.60380065290426
