"smiles","log10_rate"
"Cc1ccc2c(c1)C(=O)c1nc3ncc(F)cc3nc1-2",-3.971249861
"Cc1c(Br)cnc2nc3c(nc12)-c1ccc(Cl)cc1C3=O",-4.657577319
"Cc1ccc2c(c1)C(=O)c1nc3ncc(Br)cc3nc1-2",-3.725341153
"Cc1ccc2c(c1)C(=O)c1nc3nccc(C)c3nc1-2",-4.007888512
"COc1ccc2c(c1)C(=O)c1nc3ncc(F)cc3nc1-2",-4.131355562
"O=C1c2ccc(Br)cc2-c2nc3cc(Br)cnc3nc21",-3.718868871
"Cc1nc2nc3c(nc2cc1Br)-c1ccc(Br)cc1C3=O",-3.939729111
"O=C1c2cc(Cl)ccc2-c2nc3cc(Cl)cnc3nc21",-3.789443393
"O=C1c2cc(Br)ccc2-c2nc3cc(Cl)cnc3nc21",-3.726036241
"O=C1c2cc(Br)ccc2-c2nc3cc(Br)cnc3nc21",-3.798466327
"Cc1cc2c(ccc3nc4nc(Cl)ccc4n32)cc1[N+](=O)[O-]",-4.55129368
"Cc1c(Br)cnc2nc3c(nc12)-c1cc(Cl)ccc1C3=O",-3.876442342
"Cc1ccnc2nc3c(nc12)-c1ccccc1C3=O",-3.930809371
"Cc1ccnc2nc3c(nc12)-c1ccc(O)cc1C3=O",-3.937194625
"Nc1cc2c(cc1Cl)-c1nc3cc(F)cnc3nc1C2=O",-3.628413827
"Cc1cc2c(cc1N)C(=O)c1nc3ncc(F)cc3nc1-2",-3.825148189
"COc1cc2c(cc1N)C(=O)c1nc3ncc(Cl)cc3nc1-2",-3.673247788
"Cc1ccnc2nc3c(nc12)-c1ccc(N)cc1C3=O",-3.641380053
"Cc1cc2c(ccc3nc4nc(Cl)ccc4n32)cc1N",-3.694001165
"Cc1ccc2c(c1)-c1nc3cc(O)cnc3nc1C2=O",-3.751291264
"COc1ccc2c(c1)-c1nc3c(C)ccnc3nc1C2=O",-3.872681348
"O=C1c2cc(C=Cc3ccc(Br)o3)ccc2-c2nc3cc(Cl)cnc3nc21",-4.029653124
"COc1ccc(C=Cc2ccc3c(c2)C(=O)c2nc4ncc(Br)cc4nc2-3)cc1",-3.824450499
"Cc1ccnc2nc3c(nc12)-c1ccc(C=Cc2ccc(Br)o2)cc1C3=O",-4.335358024
"NC(=O)c1cc2ccccc2n2c1nc1ncccc12",-4.335358024
"CC(=O)Oc1ccc(C=Cc2ccc3c(c2)C(=O)c2nc4ncccc4nc2-3)cc1",-4.056505484
"COc1ccc(C=Cc2ccc3c(c2)C(=O)c2nc4nccc(C)c4nc2-3)cc1OC",-4.022276395
"Cc1c(Br)cnc2nc3c(nc12)-c1ccc(C=Cc2ccc(Br)o2)cc1C3=O",-4.245651664
"Cc1nc2nc3c(nc2cc1Br)-c1ccc(C=Cc2ccc(C=O)o2)cc1C3=O",-3.979663582
"O=Cc1ccc(C=Cc2ccc3c(c2)C(=O)c2nc4ncccc4nc2-3)o1",-3.873998543
"Cc1nc2nc3c(nc2cc1Br)-c1ccc(C=Cc2ccc(-c4ccc([N+](=O)[O-])cc4)o2)cc1C3=O",-4.54283382
"O=C1c2cc(C=Cc3ccc(-c4ccc(Br)cc4)o3)ccc2-c2nc3cc(Cl)cnc3nc21",-3.801151754
"COc1ccc(C=Cc2ccc3c(c2)C(=O)c2nc4nccc(C)c4nc2-3)cc1",-3.886106333
"COc1ccc2c(c1)C(=O)c1nc3nccc(C)c3nc1-2",-4.005682847
"Cc1c(Br)cnc2nc3c(nc12)-c1ccc(C=Cc2ccc(-c4ccc(Cl)cc4)o2)cc1C3=O",-4.145693958
"O=C1c2ccc(Br)cc2-c2nc3cc(Cl)cnc3nc21",-3.695619352
"O=C1c2ccc(Br)cc2-c2nc3cccnc3nc21",-3.977423177
"Cc1ccc2c(c1)C(=O)c1nc3ncc(Br)c(C)c3nc1-2",-3.799877582
"COc1ccc2c(c1)C(=O)c1nc3ncccc3nc1-2",-3.824633169
"O=C1c2cc(Cl)ccc2-c2nc3cc(Br)cnc3nc21",-3.718230548
"Cc1ccc2c(c1)-c1nc3c(C)c(O)cnc3nc1C2=O",-4.019183569
"Cc1nc2nc3c(nc2cc1Br)-c1ccc(Cl)cc1C3=O",-3.872173059
"COc1cc2c(cc1[N+](=O)[O-])C(=O)c1nc3ncc(Cl)cc3nc1-2",-3.875319746
"COc1ccc(Nc2cnc3nc4c(nc3c2C)-c2ccccc2C4=O)cc1",-3.943971834
"Cc1nc2nc3c(nc2cc1Br)-c1cc(Br)ccc1C3=O",-3.788084248
"Cc1ccc2c(c1)C(=O)c1nc3nc(C)c(O)cc3nc1-2",-4.718966633
"COc1ccc(Nc2cc3nc4c(nc3nc2C)C(=O)c2ccc(Br)cc2-4)cc1",-4.549750892
"Cc1ccc2c(c1)-c1nc3c(C)c(Br)cnc3nc1C2=O",-3.723446291
