"smiles","log10_Air_rate"
"O=c1c2sc3ccc(Cl)cc3c2nc2ccc3ccccc3n12",-4.43261636090411
"O=c1c2sc3ccc(Cl)cc3c2nc2c(CO)cccn12",-4.83150251647697
"O=c1c2sc3ccc(Cl)c(Cl)c3c2nc2ccc3ccccc3n12",-4.78177475896347
"Cc1cc(C(=O)O)c2nc3c(sc4cc(Cl)ccc43)c(=O)n2c1",-4.90160008814132
"Nc1cccn2c(=O)c3sc4ccc(Cl)c(Cl)c4c3nc12",-4.31659442449727
"N#Cc1cccc2sc3c(=O)n4ccc(C(=O)O)c(F)c4nc3c12",-4.52176191685069
"O=c1c2sc3cc(Cl)ccc3c2nc2ccccn12",-5.12786121872831
"O=c1c2sc3cc(Cl)ccc3c2nc2c(CO)cccn12",-4.81303729031203
"O=c1c2sc3ccc(Cl)c(Cl)c3c2nc2ccccn12",-4.31126499517486
"O=c1c2sc3cc(C(F)(F)F)ccc3c2nc2ccccn12",-4.76123625702371
"O=C(O)c1c(Br)ccc2nc3c(sc4ccc(Cl)c(Cl)c43)c(=O)n12",-4.37695756575362
"Cc1cc2nc3c(sc4cc(Cl)ccc43)c(=O)n2cc1C(=O)O",-4.18511024020204
"N#Cc1cccc2sc3c(=O)n4cccc(N)c4nc3c12",-4.34088858508262
"O=[N+]([O-])c1ccc2c(ccc3nc4nc(Cl)ccc4n32)c1",-4.28754024107001
"O=[N+]([O-])c1cc2ccc3nc4nc(Cl)ccc4n3c2cc1Br",-4.50556105118131
"O=[N+]([O-])c1ccc2c(ccc3nc4ncccc4n32)c1",-4.60807664286339
"Nc1ccc2c(ccc3nc4nc(Cl)ccc4n32)c1",-4.25289906863501
"COc1ccc(NC(=O)Nc2cc3ccc4nc5ncccc5n4c3cc2C)cc1",-4.25325835673772
"N#Cc1ccc(NC(=O)Nc2ccc3c(ccc4nc5nc(Cl)ccc5n43)c2)cc1",-4.95468574904348
"CC(C)(C)c1cc2n-n3c(-c4cc(Br)ccc4C(=O)O)nnc-3sc-2cc1=O",-4.23807216157947
"COc1c(C)cc(-c2nnc3sc4cc(=O)cc(C)c-4n-n2-3)cc1C",-3.97154429396058
"Cc1cc([N+](=O)[O-])ccc1-c1nnc2sc3cc(=O)cc(C(C)(C)C)c-3n-n1-2",-4.15724241451728
"CC(=O)c1ccccc1-c1nnc2sc3cc(=O)c(C(C)(C)C)cc-3n-n1-2",-4.16197102423076
"CC(C)(C)c1cc2n-n3c(-c4ccc(F)cc4C(=O)O)nnc-3sc-2cc1=O",-4.39382137578795
"CC(C)(C)c1cc2n-n3c(-c4ccc(Br)cc4C(=O)O)nnc-3sc-2cc1=O",-4.40834252468313
"COc1c(C)cc(-c2nnc3sc4cc(=O)c(C)cc-4n-n2-3)cc1C",-4.1743791749965
"CC(=O)Oc1cccc(-c2nnc3sc4cc(=O)c(C(C)(C)C)cc-4n-n2-3)c1C",-4.41060344430276
"O=C(O)c1cccc(O)c1-c1nnc2sc3cc(=O)ccc-3n-n1-2",-3.96952958634021
"Cc1cc(=O)cc2sc3nnc(-c4cccc(O)c4C(=O)O)n-3-nc1-2",-4.31508107718507
"CC(C)(C)c1cc(=O)cc2sc3nnc(-c4c(F)cccc4C(=O)O)n-3-nc1-2",-4.45432598778683
"Cc1ccccc1-c1nnc2sc3cc(=O)c(C)cc-3n-n1-2",-4.50128609744092
"Cc1cccc(N)c1-c1nnc2sc3cc(=O)c(C(C)(C)C)cc-3n-n1-2",-4.20377268597056
"CC(C)(C)c1cc(=O)cc2sc3nnc(-c4ccc(Br)cc4C(=O)O)n-3-nc1-2",-4.06808951908011
"CC(C)(C)c1cc2n-n3c(-c4c(F)cccc4C(=O)O)nnc-3sc-2cc1=O",-4.49736973315648
