"smiles","log10_rate"
"O=C(O)C1CCN(c2ccn3c(=O)c4sc5ccc(Cl)c(Cl)c5c4nc3c2)CC1",-4.33629907461035
"N#Cc1ccc(-c2ccn3c(=O)c4sc5cc(C(F)(F)F)ccc5c4nc3c2)cc1",-3.69031723137225
"COc1ccc(-c2ccn3c(=O)c4sc5ccc(Cl)c(Cl)c5c4nc3c2)c(OC)c1",-4.84771165561694
"COc1ccc(-c2ccn3c(=O)c4sc5cc(C(F)(F)F)ccc5c4nc3c2)c(OC)c1",-4.7594507517174
"O=C(O)C1CCN(c2ccn3c(=O)c4sc5ccc(Cl)cc5c4nc3c2)CC1",-4.55284196865778
"COc1ccc(-c2ccn3c(=O)c4sc5ccc(Cl)cc5c4nc3c2)cc1OC",-4.37986394502624
"N#Cc1ccc(-c2ccn3c(=O)c4sc5ccc(Cl)cc5c4nc3c2)cc1",-4.69464863055338
"N#Cc1ccc(Oc2ccn3c(=O)c4sc5cc(Cl)ccc5c4nc3c2)cc1",-5.01682492796219
"O=C(O)c1ccc(-c2ccn3c(=O)c4sc5ccc(Cl)cc5c4nc3c2)nc1",-4.30715308072277
"N#Cc1ccc(Oc2cc3nc4c(sc5ccc(Cl)c(Cl)c54)c(=O)n3cc2C#N)cc1",-4.50445566245355
"O=c1c2sc3cc(C(F)(F)F)ccc3c2nc2cc(-c3ccccc3CBr)ccn12",-3.73432870535412
"N#Cc1ccc(Oc2ccn3c(=O)c4sc5ccc(Cl)cc5c4nc3c2)cc1",-4.6615435063954
"N#Cc1ccc(-c2cc3nc4c(sc5ccc(Cl)cc54)c(=O)n3cc2C#N)cc1",-4.71219827006977
"Cc1ccc(-c2ccn3c(=O)c4sc5ccc(Cl)cc5c4nc3c2)nc1",-4.78251605578609
"N#Cc1ccc(Oc2ccn3c(=O)c4sc5ccc(Cl)c(Cl)c5c4nc3c2)cc1",-4.85483968381268
"N#Cc1cn2c(=O)c3sc4cc(Cl)ccc4c3nc2cc1Cl",-4.37882371822496
"N#Cc1cn2c(=O)c3sc4ccc(Cl)c(Cl)c4c3nc2cc1Cl",-4.86966623150499
"O=c1c2sc3ccc(Cl)cc3c2nc2cc(Cl)ccn12",-5.08354605145007
"O=c1c2sc3cc(C(F)(F)F)ccc3c2nc2cc(Br)ccn12",-5.02319166266193
"O=c1c2sc3cc(Cl)ccc3c2nc2cc(Br)ccn12",-5.02918838912748
"N#Cc1cn2c(=O)c3sc4ccc(Cl)cc4c3nc2cc1Cl",-4.69680394257951
"O=c1c2sc3ccc(Cl)c(Cl)c3c2nc2cc(Cl)ccn12",-4.69464863055338
"O=c1c2sc3ccc(Cl)cc3c2nc2cc(Br)ccn12",-4.74433992534583
"O=c1c(C(C)(C)C)cc2nn(c(c3c(N)cc(OC)c(OC)c3)nn4)c4sc2c1",-4.07520400420209
"O=c1c(C(C)(C)C)cc2nn(c(c3c(C)cc(N)cc3)nn4)c4sc2c1",-3.52035966564267
"O=c1c(C)cc2nn(c(c3c(C)cc(N)cc3)nn4)c4sc2c1",-3.78842755182221
"O=c1c(C)cc2nn(c(c3c(N)cc(OC)c(OC)c3)nn4)c4sc2c1",-4.31247103878537
"O=c1c(C)cc2nn(c(c3ccccc3Br)nn4)c4sc2c1",-4.38510278396687
"O=c1ccc2nn(c(c3c(C)cc([N+]([O-])=O)cc3)nn4)c4sc2c1",-3.24412514432751
"O=c1ccc2nn(c(c3c(N)cc(OC)c(OC)c3)nn4)c4sc2c1",-4.04963514562388
"O=c1ccc2nn(c(c3ccccc3Br)nn4)c4sc2c1",-4.52287874528034
"O=c1ccc2nn(c(c3cccc([N+]([O-])=O)c3)nn4)c4sc2c1",-4.65560772631489
"O=c1c(C(C)(C)C)cc2nn(c(c3c(N)cc(OC)c(OC)c3)nn4)c4sc2c1",-3.95609966181821
"CC(C)(C)c1cc2nn3c(nnc3sc2cc1=O)-c1cccnc1",-4.36653154442041
"O=c1c(C(C)(C)C)cc2nn(c(c3ccccc3Br)nn4)c4sc2c1",-4.52287874528034
"O=c1c(C(C)(C)C)cc2nn(c(c3cccc([N+]([O-])=O)c3)nn4)c4sc2c1",-4.76447155309245
