smiles,solvent,peakwavs_max
O=c1cc2sc3nnc(-c4ccncc4)n3nc-2cc1Br,CN(C)C=O,486.0
O=C1c2cc(Br)ccc2-c2nc3cc(Br)cnc3nc21,CN(C)C=O,390.0
COc1ccc(-c2cnc3nc4c(nc3c2)-c2ccc(OC)cc2C4=O)c(OC)c1,CN(C)C=O,366.0
NC(=O)C1CCN(c2cnc3nc4c(nc3c2)-c2ccccc2C4=O)CC1,CN(C)C=O,362.0
COc1ccc2c(c1)C(=O)c1nc3ncc(-c4ccc(OC)c(OC)c4)cc3nc1-2,CN(C)C=O,400.0
COc1ccc2c(c1)C(=O)c1nc3ncc(-c4ccc(F)cc4)c(C)c3nc1-2,CN(C)C=O,376.0
Cc1c(-c2ccc(C(=O)O)cc2)cnc2nc3c(nc12)-c1ccccc1C3=O,CN(C)C=O,366.0
COc1ccc(-c2cnc3nc4c(nc3c2)-c2cc(OC)ccc2C4=O)cc1,CN(C)C=O,404.0
COc1ccc(-c2cnc3nc4c(nc3c2C)-c2cc(OC)ccc2C4=O)c(OC)c1,CN(C)C=O,384.0
COc1ccc2c(c1)C(=O)c1nc3ncc(Br)cc3nc1-2,CN(C)C=O,414.0
O=C1c2cc(Br)ccc2-c2nc3cc(Cl)cnc3nc21,CN(C)C=O,380.0
COc1ccc2c(c1)C(=O)c1nc3nccc(C)c3nc1-2,CN(C)C=O,384.0
O=C1c2ccc(Br)cc2-c2nc3cc(Br)cnc3nc21,CN(C)C=O,392.0
COc1ccc2c(c1)C(=O)c1nc3ncc(Br)c(C)c3nc1-2,CN(C)C=O,408.0
COc1ccc2c(c1)-c1nc3cc(Br)cnc3nc1C2=O,CN(C)C=O,414.0
Cc1ccc2c(c1)-c1nc3cc(Br)cnc3nc1C2=O,CN(C)C=O,380.0
Cc1c(Br)cnc2nc3c(nc12)-c1cc(Cl)ccc1C3=O,CN(C)C=O,394.0
O=C1c2ccc(Br)cc2-c2nc3cc(Cl)cnc3nc21,CN(C)C=O,398.0
Cc1c(Br)cnc2nc3c(nc12)-c1cc(Cl)ccc1C3=O,CN(C)C=O,396.0
O=C1c2cc(Cl)ccc2-c2nc3cc(Cl)cnc3nc21,CN(C)C=O,394.0
O=C1c2cc(Br)ccc2-c2nc3cc(Br)cnc3nc21,CN(C)C=O,390.0
O=C(O)c1cc(-c2ccccc2)c2c(ccc3nc4ncccc4n32)c1,CN(C)C=O,378.0
Fc1cc(-c2ccc(Cl)cc2)cc2c1ccc1nc3ncccc3n12,CN(C)C=O,380.0
COc1ccc(-c2cc(F)c3ccc4nc5nc(Cl)ccc5n4c3c2)cc1OC,CN(C)C=O,356.0
Cc1cc(-c2ccc(C(=O)O)cc2)c2c(ccc3nc4ncccc4n32)c1,CN(C)C=O,372.0
Fc1cc(-c2ccccc2)cc2c1ccc1nc3ncccc3n12,CN(C)C=O,358.0
Cc1ccc(C=Cc2ccc3c(ccc4nc5nc(Cl)ccc5n43)c2)cc1,CN(C)C=O,432.0
Cc1cc(Br)c2c(ccc3nc4ncccc4n32)c1,CN(C)C=O,332.0
Fc1cc(Br)cc2c1ccc1nc3ncccc3n12,CN(C)C=O,376.0
Fc1cc(Br)cc2c1ccc1nc3nc(Cl)ccc3n12,CN(C)C=O,380.0
O=Cc1c(Cl)nc(-c2ccn3c(=O)c4sc5ccc(Cl)c(Cl)c5c4nc3c2)nc1Cl,CN(C)C=O,448.0
CCc1ccc(-c2ccn3c(=O)c4sc5ccc(Cl)c(Cl)c5c4nc3c2)cc1,CN(C)C=O,434.0
O=c1c2sc3cc(Cl)ccc3c2nc2cc(-c3ccc(F)cc3)ccn12,CN(C)C=O,438.0
COc1ccc(-c2ccn3c(=O)c4sc5cc(C(F)(F)F)ccc5c4nc3c2)cc1,CN(C)C=O,446.0
N#Cc1cn2c(=O)c3sc4ccc(Cl)cc4c3nc2cc1-c1ccc(C(=O)O)cc1,CN(C)C=O,408.0
O=c1c2sc3ccc(Cl)c(Cl)c3c2nc2cc(-c3ccc(CO)cc3)ccn12,CN(C)C=O,436.0
COc1ccc(-c2cc3nc4c(sc5ccc(Cl)cc54)c(=O)n3cc2C#N)c(OC)c1,CN(C)C=O,434.0
Cc1ccc(-c2ccn3c(=O)c4sc5ccc(Cl)c(Cl)c5c4nc3c2)cc1,CN(C)C=O,442.0
O=c1c2sc3ccc(Cl)c(Cl)c3c2nc2cc(-c3ccc(CBr)cc3)ccn12,CN(C)C=O,362.0
O=c1c2sc3ccc(Cl)cc3c2nc2cc(-c3cccc(CO)c3)ccn12,CN(C)C=O,422.0
O=c1c2sc3ccc(Cl)c(Cl)c3c2nc2cc(Cl)ccn12,CN(C)C=O,432.0
N#Cc1cn2c(=O)c3sc4ccc(Cl)cc4c3nc2cc1Cl,CN(C)C=O,430.0
O=c1c2sc3cc(Cl)ccc3c2nc2cc(Br)ccn12,CN(C)C=O,432.0
O=c1c2sc3ccc(Cl)c(Cl)c3c2nc2cc(Br)ccn12,CN(C)C=O,444.0
O=c1c2sc3ccc(Cl)cc3c2nc2cc(Br)ccn12,CN(C)C=O,408.0
Cc1ccccc1-c1nnc2sc3cc(=O)c(Br)cc-3nn12,CN(C)C=O,488.0
O=c1cc2sc3nnc(-c4ccncc4)n3nc-2cc1-c1ccc2c(c1)OCCO2,CN(C)C=O,346.0
O=C1OCc2cc(-c3cc4nn5c(-c6ccncc6)nnc5sc-4cc3=O)ccc21,CN(C)C=O,444.0
